YEAR,category,aktor,film,type
2024,SHORT FILM (Live Action),Vincent René-Lortie and Samuel Caron,"""Invincible""",nominees
2024,SHORT FILM (Live Action),Lasse Lyskjær Noer and Christian Norlyk,"""Knight of Fortune""",nominees
2024,SHORT FILM (Live Action),Nazrin Choudhury and Sara McFarlane,"""Red, White and Blue""",nominees
2024,SOUND,Tarn Willers and Johnnie Burn,"""The Zone of Interest""",Winner
2024,SOUND,"Ian Voigt, Erik Aadahl, Ethan Van der Ryn, Tom Ozanich and Dean Zupancic","""The Creator""",nominees
2024,SOUND,"Steven A. Morrow, Richard King, Jason Ruder, Tom Ozanich and Dean Zupancic","""Maestro""",nominees
2024,SOUND,"Chris Munro, James H. Mather, Chris Burdon and Mark Taylor - ""Mission: Impossible - Dead Reckoning Part One""",,nominees
2024,SOUND,"Willie Burton, Richard King, Gary A. Rizzo and Kevin O'Connell","""Oppenheimer""",nominees
2024,VISUAL EFFECTS,"Takashi Yamazaki, Kiyoko Shibuya, Masaki Takahashi and Tatsuji Nojima","""Godzilla Minus One""",Winner
2024,VISUAL EFFECTS,"Jay Cooper, Ian Comley, Andrew Roberts and Neil Corbould","""The Creator""",nominees
2024,VISUAL EFFECTS,"Stephane Ceretti, Alexis Wajsbrot, Guy Williams and Theo Bialek","""Guardians of the Galaxy Vol. 3""",nominees
2024,VISUAL EFFECTS,"Alex Wuttke, Simone Coco, Jeff Sutherland and Neil Corbould - ""Mission: Impossible - Dead Reckoning Part One""",,nominees
2024,VISUAL EFFECTS,"Charley Henley, Luc-Ewen Martin-Fenouillet, Simone Coco and Neil Corbould","""Napoleon""",nominees
2024,WRITING (Adapted Screenplay),Written for the screen by Cord Jefferson,"""American Fiction""",Winner
2024,WRITING (Adapted Screenplay),Written by Greta Gerwig & Noah Baumbach,"""Barbie""",nominees
2024,WRITING (Adapted Screenplay),Written for the screen by Christopher Nolan,"""Oppenheimer""",nominees
2024,WRITING (Adapted Screenplay),Screenplay by Tony McNamara,"""Poor Things""",nominees
2024,WRITING (Adapted Screenplay),Written by Jonathan Glazer,"""The Zone of Interest""",nominees
2024,WRITING (Original Screenplay),"Screenplay - Justine Triet and Arthur Harari - ""Anatomy of a Fall""",,Winner
2024,WRITING (Original Screenplay),Written by David Hemingson,"""The Holdovers""",nominees
2024,WRITING (Original Screenplay),Written by Bradley Cooper & Josh Singer,"""Maestro""",nominees
2024,WRITING (Original Screenplay),Screenplay by Samy Burch; Story by Samy Burch & Alex Mechanik,"""May December""",nominees
2024,WRITING (Original Screenplay),Written by Celine Song,"""Past Lives""",nominees
2024,JEAN HERSHOLT HUMANITARIAN AWARD,nan,,Winner
2024,HONORARY AWARD,"To Angela Bassett, who has inspired audiences around the world with her powerful and fearless performances.",,Winner
2024,HONORARY AWARD,"To Mel Brooks, for his comedic brilliance, producing acumen and expansive body of work.",,Winner
2024,HONORARY AWARD,"To Carol Littleton, whose commitment to her craft has significantly elevated the art of film editing.",,Winner
2023,ACTOR IN A LEADING ROLE,Brendan Fraser,"""The Whale""",Winner
2023,ACTOR IN A LEADING ROLE,Austin Butler,"""Elvis""",nominees
2023,ACTOR IN A LEADING ROLE,Colin Farrell,"""The Banshees of Inisherin""",nominees
