YEAR,category,aktor,film,type
1981,SPECIAL ACHIEVEMENT AWARD (Visual Effects),Bruce Nicholson,"""The Empire Strikes Back""",Winner
1981,ACTOR IN A LEADING ROLE,Robert Duvall,"""The Great Santini""",nominee
1981,ACTOR IN A LEADING ROLE,John Hurt,"""The Elephant Man""",nominee
1981,ACTOR IN A LEADING ROLE,Jack Lemmon,"""Tribute""",nominee
1981,ACTOR IN A LEADING ROLE,Peter O'Toole,"""The Stunt Man""",nominee
1981,ACTOR IN A SUPPORTING ROLE,Judd Hirsch,"""Ordinary People""",nominee
1981,ACTOR IN A SUPPORTING ROLE,Michael O'Keefe,"""The Great Santini""",nominee
1981,ACTOR IN A SUPPORTING ROLE,Joe Pesci,"""Raging Bull""",nominee
1981,ACTOR IN A SUPPORTING ROLE,Jason Robards,"""Melvin and Howard""",nominee
1981,ACTRESS IN A LEADING ROLE,Ellen Burstyn,"""Resurrection""",nominee
1981,ACTRESS IN A LEADING ROLE,Goldie Hawn,"""Private Benjamin""",nominee
1981,ACTRESS IN A LEADING ROLE,Mary Tyler Moore,"""Ordinary People""",nominee
1981,ACTRESS IN A LEADING ROLE,Gena Rowlands,"""Gloria""",nominee
1981,ACTRESS IN A SUPPORTING ROLE,Eileen Brennan,"""Private Benjamin""",nominee
1981,ACTRESS IN A SUPPORTING ROLE,Eva Le Gallienne,"""Resurrection""",nominee
1981,ACTRESS IN A SUPPORTING ROLE,Cathy Moriarty,"""Raging Bull""",nominee
1981,ACTRESS IN A SUPPORTING ROLE,Diana Scarwid,"""Inside Moves""",nominee
1981,ART DIRECTION,John W. Corso,"""Coal Miner's Daughter""",nominee
1981,ART DIRECTION,John M. Dwyer,"""Coal Miner's Daughter""",nominee
1981,ART DIRECTION,Stuart Craig,"""The Elephant Man""",nominee
1981,ART DIRECTION,Bob Cartwright,"""The Elephant Man""",nominee
1981,ART DIRECTION,Hugh Scaife,"""The Elephant Man""",nominee
1981,ART DIRECTION,Norman Reynolds,"""The Empire Strikes Back""",nominee
1981,ART DIRECTION,Leslie Dilley,"""The Empire Strikes Back""",nominee
1981,ART DIRECTION,Harry Lange,"""The Empire Strikes Back""",nominee
1981,ART DIRECTION,Alan Tomkins,"""The Empire Strikes Back""",nominee
1981,ART DIRECTION,Michael Ford,"""The Empire Strikes Back""",nominee
1981,ART DIRECTION,Yoshiro Muraki,"""Kagemusha (The Shadow Warrior)""",nominee
1981,CINEMATOGRAPHY,Nestor Almendros,"""The Blue Lagoon""",nominee
1981,CINEMATOGRAPHY,Ralf D. Bode,"""Coal Miner's Daughter""",nominee
1981,CINEMATOGRAPHY,James Crabe,"""The Formula""",nominee
1981,CINEMATOGRAPHY,Michael Chapman,"""Raging Bull""",nominee
1981,COSTUME DESIGN,Patricia Norris,"""The Elephant Man""",nominee
1981,COSTUME DESIGN,Anna Senior,"""My Brilliant Career""",nominee
1981,COSTUME DESIGN,Jean-Pierre Dorleac,"""Somewhere in Time""",nominee
1981,COSTUME DESIGN,Paul Zastupnevich,"""When Time Ran Out""",nominee
1981,DIRECTING,David Lynch,"""The Elephant Man""",nominee
1981,DIRECTING,Martin Scorsese,"""Raging Bull""",nominee
1981,DIRECTING,Richard Rush,"""The Stunt Man""",nominee
1981,DIRECTING,Roman Polanski,"""Tess""",nominee
1981,DOCUMENTARY (Feature),Ross Spears,"""Agee""",nominee
1981,DOCUMENTARY (Feature),Jon Else,"""The Day after Trinity""",nominee
1981,DOCUMENTARY (Feature),David Bradbury,"""Front Line""",nominee
1981,DOCUMENTARY (Feature),Bengt von zur Muehlen,"""The Yellow Star - The Persecution of the Jews in Europe 1933-45""",nominee
1981,DOCUMENTARY (Feature),Arthur Cohn,"""The Yellow Star - The Persecution of the Jews in Europe 1933-45""",nominee
1981,DOCUMENTARY (Short Subject),John Watson,"""Don't Mess with Bill""",nominee
1981,DOCUMENTARY (Short Subject),Pen Densham,"""Don't Mess with Bill""",nominee
1981,DOCUMENTARY (Short Subject),George Casey,"""The Eruption of Mount St. Helens""",nominee
1981,DOCUMENTARY (Short Subject),Dick Young,"""It's the Same World""",nominee
1981,DOCUMENTARY (Short Subject),Richard Hawkins,"""Luther Metke at 94""",nominee
1981,DOCUMENTARY (Short Subject),Jorge Preloran,"""Luther Metke at 94""",nominee
1981,FILM EDITING,Arthur Schmidt,"""Coal Miner's Daughter""",nominee
1981,FILM EDITING,David Blewitt,"""The Competition""",nominee
1981,FILM EDITING,Anne V. Coates,"""The Elephant Man""",nominee
1981,FILM EDITING,Gerry Hambling,"""Fame""",nominee
1981,FOREIGN LANGUAGE FILM,Hungary,"""Confidence""",nominee
1981,FOREIGN LANGUAGE FILM,Japan,"""Kagemusha (The Shadow Warrior)""",nominee
1981,FOREIGN LANGUAGE FILM,France,"""The Last Metro""",nominee
1981,FOREIGN LANGUAGE FILM,Spain,"""The Nest""",nominee
1981,MUSIC (Original Score),John Corigliano,"""Altered States""",nominee
1981,MUSIC (Original Score),John Morris,"""The Elephant Man""",nominee
1981,MUSIC (Original Score),John Williams,"""The Empire Strikes Back""",nominee
1981,MUSIC (Original Score),Philippe Sarde,"""Tess""",nominee
1981,MUSIC (Original Song),Dolly Parton,"""Nine to Five""",nominee
1981,MUSIC (Original Song),Willie Nelson,"""Honeysuckle Rose""",nominee
1981,MUSIC (Original Song),Michael Gore,"""Fame""",nominee
1981,MUSIC (Original Song),Lesley Gore,"""Fame""",nominee
1981,MUSIC (Original Song),Lalo Schifrin,"""The Competition""",nominee
1981,MUSIC (Original Song),Wilbur Jennings,"""The Competition""",nominee
1981,BEST PICTURE,Bernard Schwartz,"""Coal Miner's Daughter""",nominee
1981,BEST PICTURE,Jonathan Sanger,"""The Elephant Man""",nominee
1981,BEST PICTURE,Irwin Winkler,"""Raging Bull""",nominee
1981,BEST PICTURE,Robert Chartoff,"""Raging Bull""",nominee
1981,BEST PICTURE,Claude Berri,"""Tess""",nominee
1981,BEST PICTURE,Producer,"""Tess""",nominee
1981,BEST PICTURE,Timothy Burrill,"""Tess""",nominee
1981,BEST PICTURE,Co-Producer,"""Tess""",nominee
1981,SHORT FILM (Animated),Frédéric Back,"""All Nothing""",nominee
1981,SHORT FILM (Animated),Michael Mills,"""History of the World in Three Minutes Flat""",nominee
1981,SHORT FILM (Dramatic Live Action),Bob Carmichael,"""Fall Line""",nominee
1981,SHORT FILM (Dramatic Live Action),Greg Lowe,"""Fall Line""",nominee
1981,SHORT FILM (Dramatic Live Action),Sally Heckel,"""A Jury of Her Peers""",nominee
1981,SOUND,Arthur Piantadosi,"""Altered States""",nominee
1981,SOUND,Les Fresholtz,"""Altered States""",nominee
1981,SOUND,Michael Minkler,"""Altered States""",nominee
1981,SOUND,Willie D. Burton,"""Altered States""",nominee
1981,SOUND,Richard Portman,"""Coal Miner's Daughter""",nominee
1981,SOUND,Roger Heman,"""Coal Miner's Daughter""",nominee
1981,SOUND,Jim Alexander,"""Coal Miner's Daughter""",nominee
1981,SOUND,Michael J. Kohut,"""Fame""",nominee
1981,SOUND,Aaron Rochin,"""Fame""",nominee
1981,SOUND,Jay M. Harding,"""Fame""",nominee
1981,SOUND,Chris Newman,"""Fame""",nominee
1981,SOUND,Donald O. Mitchell,"""Raging Bull""",nominee
1981,SOUND,Bill Nicholson,"""Raging Bull""",nominee
1981,SOUND,David J. Kimball,"""Raging Bull""",nominee
1981,SOUND,Les Lazarowitz,"""Raging Bull""",nominee
1981,WRITING (Screenplay Based on Material from Another Medium),Jonathan Hardy,"""Breaker Morant""",nominee
1981,WRITING (Screenplay Based on Material from Another Medium),David Stevens,"""Breaker Morant""",nominee
1981,WRITING (Screenplay Based on Material from Another Medium),Bruce Beresford,"""Breaker Morant""",nominee
1981,WRITING (Screenplay Based on Material from Another Medium),Tom Rickman,"""Coal Miner's Daughter""",nominee
1981,WRITING (Screenplay Based on Material from Another Medium),Christopher DeVore,"""The Elephant Man""",nominee
1981,WRITING (Screenplay Based on Material from Another Medium),Eric Bergren,"""The Elephant Man""",nominee
1981,WRITING (Screenplay Based on Material from Another Medium),David Lynch,"""The Elephant Man""",nominee
1981,WRITING (Screenplay Based on Material from Another Medium),Lawrence B. Marcus,"""The Stunt Man""",nominee
1981,WRITING (Screenplay Based on Material from Another Medium),Richard Rush,"""The Stunt Man""",nominee
1981,WRITING (Screenplay Written Directly for the Screen),W. D. Richter,"""Brubaker""",nominee
1981,WRITING (Screenplay Written Directly for the Screen),W. D. Richter,"""Brubaker""",nominee
1981,WRITING (Screenplay Written Directly for the Screen),Arthur Ross,"""Brubaker""",nominee
1981,WRITING (Screenplay Written Directly for the Screen),Christopher Gore,"""Fame""",nominee
1981,WRITING (Screenplay Written Directly for the Screen),Jean Gruault,"""Mon Oncle D'Amerique""",nominee
1981,WRITING (Screenplay Written Directly for the Screen),Nancy Meyers,"""Private Benjamin""",nominee
1981,WRITING (Screenplay Written Directly for the Screen),Charles Shyer,"""Private Benjamin""",nominee
1981,WRITING (Screenplay Written Directly for the Screen),Harvey Miller,"""Private Benjamin""",nominee
1980,ACTOR IN A LEADING ROLE,Dustin Hoffman,"""Kramer vs. Kramer""",Winner
1980,ACTOR IN A SUPPORTING ROLE,Melvyn Douglas,"""Being There""",Winner
1980,ACTRESS IN A LEADING ROLE,Sally Field,"""Norma Rae""",Winner
1980,ACTRESS IN A SUPPORTING ROLE,Meryl Streep,"""Kramer vs. Kramer""",Winner
1980,ART DIRECTION,Philip Rosenberg,"""All That Jazz""",Winner
1980,ART DIRECTION,Tony Walton,"""All That Jazz""",Winner
1980,ART DIRECTION,Edward Stewart,"""All That Jazz""",Winner
1980,ART DIRECTION,Gary Brink,"""All That Jazz""",Winner
1980,CINEMATOGRAPHY,Vittorio Storaro,"""Apocalypse Now""",Winner
1980,COSTUME DESIGN,Albert Wolsky,"""All That Jazz""",Winner
1980,DIRECTING,Robert Benton,"""Kramer vs. Kramer""",Winner
1980,DOCUMENTARY (Feature),Ira Wohl,"""Best Boy""",Winner
1980,DOCUMENTARY (Short Subject),Saul J. Turell,"""Paul Robeson: Tribute to an Artist""",Winner
1980,FILM EDITING,Alan Heim,"""All That Jazz""",Winner
1980,FOREIGN LANGUAGE FILM,Federal Republic of Germany,"""The Tin Drum""",Winner
1980,MUSIC (Original Score),Georges Delerue,"""A Little Romance""",Winner
1980,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Ralph Burns,"""All That Jazz""",Winner
1980,MUSIC (Original Song),David Shire,"""Norma Rae""",Winner
1980,MUSIC (Original Song),Norman Gimbel,"""Norma Rae""",Winner
1980,BEST PICTURE,Stanley R. Jaffe,"""Kramer vs. Kramer""",Winner
1980,SHORT FILM (Animated),Derek Lamb,"""Every Child""",Winner
1980,SHORT FILM (Live Action),Sarah Pillsbury,"""Board and Care""",Winner
1980,SHORT FILM (Live Action),Ron Ellis,"""Board and Care""",Winner
1980,SOUND,Walter Murch,"""Apocalypse Now""",Winner
1980,SOUND,Mark Berger,"""Apocalypse Now""",Winner
1980,SOUND,Richard Beggs,"""Apocalypse Now""",Winner
1980,SOUND,Nat Boxer,"""Apocalypse Now""",Winner
1980,VISUAL EFFECTS,H.R. Giger,"""Alien""",Winner
1980,VISUAL EFFECTS,Carlo Rambaldi,"""Alien""",Winner
1980,VISUAL EFFECTS,Brian Johnson,"""Alien""",Winner
1980,VISUAL EFFECTS,Nick Allder,"""Alien""",Winner
1980,VISUAL EFFECTS,Denys Ayling,"""Alien""",Winner
1980,WRITING (Screenplay Based on Material from Another Medium),Robert Benton,"""Kramer vs. Kramer""",Winner
1980,WRITING (Screenplay Written Directly for the Screen),Steve Tesich,"""Breaking Away""",Winner
1980,SPECIAL ACHIEVEMENT AWARD (Sound Editing),Alan Splet,"""The Black Stallion""",Winner
1980,JEAN HERSHOLT HUMANITARIAN AWARD,Robert Benjamin,,Winner
1980,ACTOR IN A LEADING ROLE,Jack Lemmon,"""The China Syndrome""",nominee
1980,ACTOR IN A LEADING ROLE,Al Pacino,"""...And Justice for All""",nominee
1980,ACTOR IN A LEADING ROLE,Roy Scheider,"""All That Jazz""",nominee
1980,ACTOR IN A LEADING ROLE,Peter Sellers,"""Being There""",nominee
1980,ACTOR IN A SUPPORTING ROLE,Robert Duvall,"""Apocalypse Now""",nominee
1980,ACTOR IN A SUPPORTING ROLE,Frederic Forrest,"""The Rose""",nominee
1980,ACTOR IN A SUPPORTING ROLE,Justin Henry,"""Kramer vs. Kramer""",nominee
1980,ACTOR IN A SUPPORTING ROLE,Mickey Rooney,"""The Black Stallion""",nominee
1980,ACTRESS IN A LEADING ROLE,Jill Clayburgh,"""Starting Over""",nominee
1980,ACTRESS IN A LEADING ROLE,Jane Fonda,"""The China Syndrome""",nominee
1980,ACTRESS IN A LEADING ROLE,Marsha Mason,"""Chapter Two""",nominee
1980,ACTRESS IN A LEADING ROLE,Bette Midler,"""The Rose""",nominee
1980,ACTRESS IN A SUPPORTING ROLE,Jane Alexander,"""Kramer vs. Kramer""",nominee
1980,ACTRESS IN A SUPPORTING ROLE,Barbara Barrie,"""Breaking Away""",nominee
1980,ACTRESS IN A SUPPORTING ROLE,Candice Bergen,"""Starting Over""",nominee
1980,ACTRESS IN A SUPPORTING ROLE,Mariel Hemingway,"""Manhattan""",nominee
1980,ART DIRECTION,Michael Seymour,"""Alien""",nominee
1980,ART DIRECTION,Les Dilley,"""Alien""",nominee
1980,ART DIRECTION,Roger Christian,"""Alien""",nominee
1980,ART DIRECTION,Ian Whittaker,"""Alien""",nominee
1980,ART DIRECTION,Dean Tavoularis,"""Apocalypse Now""",nominee
1980,ART DIRECTION,Angelo Graham,"""Apocalypse Now""",nominee
1980,ART DIRECTION,George R. Nelson,"""Apocalypse Now""",nominee
1980,ART DIRECTION,George Jenkins,"""The China Syndrome""",nominee
1980,ART DIRECTION,Arthur Jeph Parker,"""The China Syndrome""",nominee
1980,ART DIRECTION,Harold Michelson,"""Star Trek - The Motion Picture""",nominee
1980,ART DIRECTION,Joe Jennings,"""Star Trek - The Motion Picture""",nominee
1980,ART DIRECTION,Leon Harris,"""Star Trek - The Motion Picture""",nominee
1980,ART DIRECTION,John Vallone,"""Star Trek - The Motion Picture""",nominee
1980,ART DIRECTION,Linda DeScenna,"""Star Trek - The Motion Picture""",nominee
1980,CINEMATOGRAPHY,Giuseppe Rotunno,"""All That Jazz""",nominee
1980,CINEMATOGRAPHY,Frank Phillips,"""The Black Hole""",nominee
1980,CINEMATOGRAPHY,Nestor Almendros,"""Kramer vs. Kramer""",nominee
1980,CINEMATOGRAPHY,William A. Fraker,"""1941""",nominee
1980,COSTUME DESIGN,Shirley Russell,"""Agatha""",nominee
1980,COSTUME DESIGN,William Ware Theiss,"""Butch and Sundance: The Early Days""",nominee
1980,COSTUME DESIGN,Judy Moorcroft,"""The Europeans""",nominee
1980,COSTUME DESIGN,Piero Tosi,"""La Cage aux Folles""",nominee
1980,COSTUME DESIGN,Ambra Danon,"""La Cage aux Folles""",nominee
1980,DIRECTING,Bob Fosse,"""All That Jazz""",nominee
1980,DIRECTING,Francis Coppola,"""Apocalypse Now""",nominee
1980,DIRECTING,Peter Yates,"""Breaking Away""",nominee
1980,DIRECTING,Edouard Molinaro,"""La Cage aux Folles""",nominee
1980,DOCUMENTARY (Feature),David A. Vassar,"""Generation on the Wind""",nominee
1980,DOCUMENTARY (Feature),Paul Cowan,"""Going the Distance""",nominee
1980,DOCUMENTARY (Feature),Jacques Bobet,"""Going the Distance""",nominee
1980,DOCUMENTARY (Feature),Steve Singer,"""The Killing Ground""",nominee
1980,DOCUMENTARY (Feature),Tom Priestley,"""The Killing Ground""",nominee
1980,DOCUMENTARY (Feature),Glenn Silber,"""The War at Home""",nominee
1980,DOCUMENTARY (Feature),Barry Alexander Brown,"""The War at Home""",nominee
1980,DOCUMENTARY (Short Subject),Risto Teofilovski,"""Dae""",nominee
1980,DOCUMENTARY (Short Subject),Donald A. Connolly,"""Koryo Celadon""",nominee
1980,DOCUMENTARY (Short Subject),James R. Messenger,"""Koryo Celadon""",nominee
1980,DOCUMENTARY (Short Subject),Phillip Borsos,"""Nails""",nominee
1980,DOCUMENTARY (Short Subject),Dick Young,"""Remember Me""",nominee
1980,FILM EDITING,Richard Marks,"""Apocalypse Now""",nominee
1980,FILM EDITING,Walter Murch,"""Apocalypse Now""",nominee
1980,FILM EDITING,Gerald B. Greenberg,"""Apocalypse Now""",nominee
1980,FILM EDITING,Lisa Fruchtman,"""Apocalypse Now""",nominee
1980,FILM EDITING,Robert Dalva,"""The Black Stallion""",nominee
1980,FILM EDITING,Jerry Greenberg,"""Kramer vs. Kramer""",nominee
1980,FILM EDITING,Robert L. Wolfe,"""The Rose""",nominee
1980,FILM EDITING,C. Timothy O'Meara,"""The Rose""",nominee
1980,FOREIGN LANGUAGE FILM,Poland,"""The Maids of Wilko""",nominee
1980,FOREIGN LANGUAGE FILM,Spain,"""Mama Turns a Hundred""",nominee
1980,FOREIGN LANGUAGE FILM,France,"""A Simple Story""",nominee
1980,FOREIGN LANGUAGE FILM,Italy,"""To Forget Venice""",nominee
1980,MUSIC (Original Score),Lalo Schifrin,"""The Amityville Horror""",nominee
1980,MUSIC (Original Score),Dave Grusin,"""The Champ""",nominee
1980,MUSIC (Original Score),Jerry Goldsmith,"""Star Trek - The Motion Picture""",nominee
1980,MUSIC (Original Score),Henry Mancini,"""10""",nominee
1980,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Patrick Williams,"""Breaking Away""",nominee
1980,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Paul Williams,"""The Muppet Movie""",nominee
1980,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Kenny Ascher,"""The Muppet Movie""",nominee
1980,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Paul Williams,"""The Muppet Movie""",nominee
1980,MUSIC (Original Song),David Shire,"""The Promise""",nominee
1980,MUSIC (Original Song),Alan Bergman,"""The Promise""",nominee
1980,MUSIC (Original Song),Marilyn Bergman,"""The Promise""",nominee
1980,MUSIC (Original Song),Henry Mancini,"""10""",nominee
1980,MUSIC (Original Song),Robert Wells,"""10""",nominee
1980,MUSIC (Original Song),Paul Williams,"""The Muppet Movie""",nominee
1980,MUSIC (Original Song),Kenny Ascher,"""The Muppet Movie""",nominee
1980,MUSIC (Original Song),Marvin Hamlisch,"""Ice Castles""",nominee
1980,MUSIC (Original Song),Carole Bayer Sager,"""Ice Castles""",nominee
1980,BEST PICTURE,Robert Alan Aurthur,"""All That Jazz""",nominee
1980,BEST PICTURE,Francis Coppola,"""Apocalypse Now""",nominee
1980,BEST PICTURE,Producer,"""Apocalypse Now""",nominee
1980,BEST PICTURE,Fred Roos,"""Apocalypse Now""",nominee
1980,BEST PICTURE,Gray Frederickson,"""Apocalypse Now""",nominee
1980,BEST PICTURE,Tom Sternberg,"""Apocalypse Now""",nominee
1980,BEST PICTURE,Co-Producers,"""Apocalypse Now""",nominee
1980,BEST PICTURE,Peter Yates,"""Breaking Away""",nominee
1980,BEST PICTURE,Tamara Asseyev,"""Norma Rae""",nominee
1980,BEST PICTURE,Alex Rose,"""Norma Rae""",nominee
1980,SHORT FILM (Animated),Bob Godfrey,"""Dream Doll""",nominee
1980,SHORT FILM (Animated),Zlatko Grgic,"""Dream Doll""",nominee
1980,SHORT FILM (Animated),Paul Fierlinger,"""It's So Nice to Have a Wolf around the House""",nominee
1980,SHORT FILM (Live Action),Roman Kroitor,"""Bravery in the Field""",nominee
1980,SHORT FILM (Live Action),Stefan Wodoslawsky,"""Bravery in the Field""",nominee
1980,SHORT FILM (Live Action),Carol Lowell,"""Oh Brother, My Brother""",nominee
1980,SHORT FILM (Live Action),Ross Lowell,"""Oh Brother, My Brother""",nominee
1980,SHORT FILM (Live Action),Saul Bass,"""The Solar Film""",nominee
1980,SHORT FILM (Live Action),Michael Britton,"""The Solar Film""",nominee
1980,SHORT FILM (Live Action),Harry Mathias,"""Solly's Diner""",nominee
1980,SHORT FILM (Live Action),Jay Zukerman,"""Solly's Diner""",nominee
1980,SHORT FILM (Live Action),Larry Hankin,"""Solly's Diner""",nominee
1980,SOUND,Arthur Piantadosi,"""The Electric Horseman""",nominee
1980,SOUND,Les Fresholtz,"""The Electric Horseman""",nominee
1980,SOUND,Michael Minkler,"""The Electric Horseman""",nominee
1980,SOUND,Al Overton,"""The Electric Horseman""",nominee
1980,SOUND,William McCaughey,"""Meteor""",nominee
1980,SOUND,Aaron Rochin,"""Meteor""",nominee
1980,SOUND,Michael J. Kohut,"""Meteor""",nominee
1980,SOUND,Jack Solomon,"""Meteor""",nominee
1980,SOUND,Robert Knudson,"""1941""",nominee
1980,SOUND,Robert J. Glass,"""1941""",nominee
1980,SOUND,Don MacDougall,"""1941""",nominee
1980,SOUND,Gene S. Cantamessa,"""1941""",nominee
1980,SOUND,Theodore Soderberg,"""The Rose""",nominee
1980,SOUND,Douglas Williams,"""The Rose""",nominee
1980,SOUND,Paul Wells,"""The Rose""",nominee
1980,SOUND,Jim Webb,"""The Rose""",nominee
1980,VISUAL EFFECTS,Peter Ellenshaw,"""The Black Hole""",nominee
1980,VISUAL EFFECTS,Art Cruickshank,"""The Black Hole""",nominee
1980,VISUAL EFFECTS,Eustace Lycett,"""The Black Hole""",nominee
1980,VISUAL EFFECTS,Danny Lee,"""The Black Hole""",nominee
1980,VISUAL EFFECTS,Harrison Ellenshaw,"""The Black Hole""",nominee
1980,VISUAL EFFECTS,Joe Hale,"""The Black Hole""",nominee
1980,VISUAL EFFECTS,Derek Meddings,"""Moonraker""",nominee
1980,VISUAL EFFECTS,Paul Wilson,"""Moonraker""",nominee
1980,VISUAL EFFECTS,John Evans,"""Moonraker""",nominee
1980,VISUAL EFFECTS,William A. Fraker,"""1941""",nominee
1980,VISUAL EFFECTS,A. D. Flowers,"""1941""",nominee
1980,VISUAL EFFECTS,Gregory Jein,"""1941""",nominee
1980,VISUAL EFFECTS,Douglas Trumbull,"""Star Trek - The Motion Picture""",nominee
1980,VISUAL EFFECTS,John Dykstra,"""Star Trek - The Motion Picture""",nominee
1980,VISUAL EFFECTS,Richard Yuricich,"""Star Trek - The Motion Picture""",nominee
1980,VISUAL EFFECTS,Robert Swarthe,"""Star Trek - The Motion Picture""",nominee
1980,VISUAL EFFECTS,Dave Stewart,"""Star Trek - The Motion Picture""",nominee
1980,VISUAL EFFECTS,Grant McCune,"""Star Trek - The Motion Picture""",nominee
1980,WRITING (Screenplay Based on Material from Another Medium),John Milius,"""Apocalypse Now""",nominee
1980,WRITING (Screenplay Based on Material from Another Medium),Francis Coppola,"""Apocalypse Now""",nominee
1980,WRITING (Screenplay Based on Material from Another Medium),Francis Veber,"""La Cage aux Folles""",nominee
1980,WRITING (Screenplay Based on Material from Another Medium),Edouard Molinaro,"""La Cage aux Folles""",nominee
1980,WRITING (Screenplay Based on Material from Another Medium),Marcello Danon,"""La Cage aux Folles""",nominee
1980,WRITING (Screenplay Based on Material from Another Medium),Jean Poiret,"""La Cage aux Folles""",nominee
1980,WRITING (Screenplay Based on Material from Another Medium),Allan Burns,"""A Little Romance""",nominee
1980,WRITING (Screenplay Based on Material from Another Medium),Irving Ravetch,"""Norma Rae""",nominee
1980,WRITING (Screenplay Based on Material from Another Medium),Harriet Frank,"""Norma Rae""",nominee
1980,WRITING (Screenplay Written Directly for the Screen),Robert Alan Aurthur,"""All That Jazz""",nominee
1980,WRITING (Screenplay Written Directly for the Screen),Bob Fosse,"""All That Jazz""",nominee
1980,WRITING (Screenplay Written Directly for the Screen),Valerie Curtin,"""...And Justice for All""",nominee
1980,WRITING (Screenplay Written Directly for the Screen),Barry Levinson,"""...And Justice for All""",nominee
1980,WRITING (Screenplay Written Directly for the Screen),Mike Gray,"""The China Syndrome""",nominee
1980,WRITING (Screenplay Written Directly for the Screen),T.S. Cook,"""The China Syndrome""",nominee
1980,WRITING (Screenplay Written Directly for the Screen),James Bridges,"""The China Syndrome""",nominee
1980,WRITING (Screenplay Written Directly for the Screen),Woody Allen,"""Manhattan""",nominee
1980,WRITING (Screenplay Written Directly for the Screen),Marshall Brickman,"""Manhattan""",nominee
1979,ACTOR IN A LEADING ROLE,Jon Voight,"""Coming Home""",Winner
1979,ACTOR IN A SUPPORTING ROLE,Christopher Walken,"""The Deer Hunter""",Winner
1979,ACTRESS IN A LEADING ROLE,Jane Fonda,"""Coming Home""",Winner
1979,ACTRESS IN A SUPPORTING ROLE,Maggie Smith,"""California Suite""",Winner
1979,ART DIRECTION,Paul Sylbert,"""Heaven Can Wait""",Winner
1979,ART DIRECTION,Edwin O'Donovan,"""Heaven Can Wait""",Winner
1979,ART DIRECTION,George Gaines,"""Heaven Can Wait""",Winner
1979,CINEMATOGRAPHY,Nestor Almendros,"""Days of Heaven""",Winner
1979,COSTUME DESIGN,Anthony Powell,"""Death on the Nile""",Winner
1979,DIRECTING,Michael Cimino,"""The Deer Hunter""",Winner
1979,DOCUMENTARY (Feature),Arnold Shapiro,"""Scared Straight!""",Winner
1979,DOCUMENTARY (Short Subject),Jacqueline Phillips Shedd,"""The Flight of the Gossamer Condor""",Winner
1979,DOCUMENTARY (Short Subject),Ben Shedd,"""The Flight of the Gossamer Condor""",Winner
1979,FILM EDITING,Peter Zinner,"""The Deer Hunter""",Winner
1979,FOREIGN LANGUAGE FILM,France,"""Get Out Your Handkerchiefs""",Winner
1979,MUSIC (Adaptation Score),Joe Renzetti,"""The Buddy Holly Story""",Winner
1979,MUSIC (Original Score),Giorgio Moroder,"""Midnight Express""",Winner
1979,MUSIC (Original Song),Paul Jabara,"""Thank God It's Friday""",Winner
1979,BEST PICTURE,Barry Spikings,"""The Deer Hunter""",Winner
1979,BEST PICTURE,Michael Deeley,"""The Deer Hunter""",Winner
1979,BEST PICTURE,Michael Cimino,"""The Deer Hunter""",Winner
1979,BEST PICTURE,John Peverall,"""The Deer Hunter""",Winner
1979,SHORT FILM (Animated),Eunice Macaulay,"""Special Delivery""",Winner
1979,SHORT FILM (Animated),John Weldon,"""Special Delivery""",Winner
1979,SHORT FILM (Live Action),Taylor Hackford,"""Teenage Father""",Winner
1979,SOUND,Richard Portman,"""The Deer Hunter""",Winner
1979,SOUND,William McCaughey,"""The Deer Hunter""",Winner
1979,SOUND,Aaron Rochin,"""The Deer Hunter""",Winner
1979,SOUND,Darin Knight,"""The Deer Hunter""",Winner
1979,WRITING (Screenplay Based on Material from Another Medium),Oliver Stone,"""Midnight Express""",Winner
1979,WRITING (Screenplay Written Directly for the Screen),Nancy Dowd,"""Coming Home""",Winner
1979,WRITING (Screenplay Written Directly for the Screen),Waldo Salt,"""Coming Home""",Winner
1979,WRITING (Screenplay Written Directly for the Screen),Robert C. Jones,"""Coming Home""",Winner
1979,SPECIAL ACHIEVEMENT AWARD (Visual Effects),Les Bowie,"""Superman""",Winner
1979,SPECIAL ACHIEVEMENT AWARD (Visual Effects),Colin Chilvers,"""Superman""",Winner
1979,SPECIAL ACHIEVEMENT AWARD (Visual Effects),Denys Coop,"""Superman""",Winner
1979,SPECIAL ACHIEVEMENT AWARD (Visual Effects),Roy Field,"""Superman""",Winner
1979,SPECIAL ACHIEVEMENT AWARD (Visual Effects),Derek Meddings,"""Superman""",Winner
1979,SPECIAL ACHIEVEMENT AWARD (Visual Effects),Zoran Perisic,"""Superman""",Winner
1979,JEAN HERSHOLT HUMANITARIAN AWARD,Leo Jaffe,,Winner
1979,ACTOR IN A LEADING ROLE,Warren Beatty,"""Heaven Can Wait""",nominee
1979,ACTOR IN A LEADING ROLE,Gary Busey,"""The Buddy Holly Story""",nominee
1979,ACTOR IN A LEADING ROLE,Robert De Niro,"""The Deer Hunter""",nominee
1979,ACTOR IN A LEADING ROLE,Laurence Olivier,"""The Boys from Brazil""",nominee
